FL_DATE,CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,LAT,LONG,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,AA,2340,ORD,"Chicago, IL",41.978603,-87.904842,IL,DCA,"Washington, DC",VA,1515,1511,0,0,10,1521,1736,7,1800,1743,-17,0,0,0,105,92,612,,,,,
1/1/2015,AA,2346,ORD,"Chicago, IL",41.978603,-87.904842,IL,DCA,"Washington, DC",VA,2205,2205,0,0,21,2226,35,6,45,41,-4,0,0,0,100,96,612,,,,,
1/1/2015,AA,2361,DCA,"Washington, DC",38.852083,-77.037722,VA,ORD,"Chicago, IL",IL,1615,1608,0,0,10,1618,1708,6,1735,1714,-21,0,0,0,140,126,612,,,,,
1/1/2015,AA,2361,ORD,"Chicago, IL",41.978603,-87.904842,IL,DCA,"Washington, DC",VA,1245,1239,0,0,9,1248,1508,9,1525,1517,-8,0,0,0,100,98,612,,,,,
1/1/2015,AA,2472,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,DCA,"Washington, DC",VA,2010,2029,19,1,12,2041,2347,7,2350,2354,4,4,0,0,160,145,1192,,,,,
1/1/2015,AA,2326,MIA,"Miami, FL",25.79325,-80.290556,FL,DCA,"Washington, DC",VA,645,718,33,1,16,734,941,5,915,946,31,31,0,0,150,148,919,0,0,0,0,31
1/1/2015,AA,2330,MIA,"Miami, FL",25.79325,-80.290556,FL,IAD,"Washington, DC",VA,2125,2247,82,1,14,2301,59,7,2354,106,72,72,0,0,149,139,921,0,0,0,0,72
1/1/2015,AA,2441,DFW,"Dallas/Fort Worth, TX",32.896828,-97.037997,TX,RIC,"Richmond, VA",VA,1340,1404,24,1,18,1422,1728,8,1715,1736,21,21,0,0,155,152,1158,19,0,0,0,2
1/1/2015,AA,2441,RIC,"Richmond, VA",37.505167,-77.319667,VA,DFW,"Dallas/Fort Worth, TX",TX,1755,1816,21,1,21,1837,2037,15,2025,2052,27,27,0,0,210,216,1158,0,0,6,0,21
1/1/2015,AS,1,DCA,"Washington, DC",38.852083,-77.037722,VA,SEA,"Seattle, WA",WA,800,756,0,0,8,804,1032,5,1100,1037,-23,0,0,0,360,341,2329,,,,,
