route,origin,destination,count,count_cancelled,count_diverted,TOTAL_CARRIER_DELAY,TOTAL_ARR_DELAY,TOTAL_LATE_AIRCRAFT_DELAY,TOTAL_NAS_DELAY,TOTAL_SECURITY_DELAY,TOTAL_WEATHER_DELAY,TOTAL_AVG_CARRIER_DELAY,TOTAL_AVG_ARR_DELAY,TOTAL_AVG_LATE_AIRCRAFT_DELAY,TOTAL_AVG_NAS_DELAY,TOTAL_AVG_SECURITY_DELAY,TOTAL_AVG_WEATHER_DELAY,AA_count,AS_count,B6_count,DL_count,EV_count,F9_count,MQ_count,OO_count,UA_count,US_count,VX_count,WN_count,AA_cancelled,AS_cancelled,B6_cancelled,DL_cancelled,EV_cancelled,F9_cancelled,MQ_cancelled,OO_cancelled,UA_cancelled,US_cancelled,VX_cancelled,WN_cancelled,AA_CARRIER_DELAY,AS_CARRIER_DELAY,B6_CARRIER_DELAY,DL_CARRIER_DELAY,EV_CARRIER_DELAY,F9_CARRIER_DELAY,MQ_CARRIER_DELAY,OO_CARRIER_DELAY,UA_CARRIER_DELAY,US_CARRIER_DELAY,VX_CARRIER_DELAY,WN_CARRIER_DELAY,AA_ARR_DELAY,AS_ARR_DELAY,B6_ARR_DELAY,DL_ARR_DELAY,EV_ARR_DELAY,F9_ARR_DELAY,MQ_ARR_DELAY,OO_ARR_DELAY,UA_ARR_DELAY,US_ARR_DELAY,VX_ARR_DELAY,WN_ARR_DELAY,AA_LATE_AIRCRAFT_DELAY,AS_LATE_AIRCRAFT_DELAY,B6_LATE_AIRCRAFT_DELAY,DL_LATE_AIRCRAFT_DELAY,EV_LATE_AIRCRAFT_DELAY,F9_LATE_AIRCRAFT_DELAY,MQ_LATE_AIRCRAFT_DELAY,OO_LATE_AIRCRAFT_DELAY,UA_LATE_AIRCRAFT_DELAY,US_LATE_AIRCRAFT_DELAY,VX_LATE_AIRCRAFT_DELAY,WN_LATE_AIRCRAFT_DELAY,AA_NAS_DELAY,AS_NAS_DELAY,B6_NAS_DELAY,DL_NAS_DELAY,EV_NAS_DELAY,F9_NAS_DELAY,MQ_NAS_DELAY,OO_NAS_DELAY,UA_NAS_DELAY,US_NAS_DELAY,VX_NAS_DELAY,WN_NAS_DELAY,AA_SECURITY_DELAY,AS_SECURITY_DELAY,B6_SECURITY_DELAY,DL_SECURITY_DELAY,EV_SECURITY_DELAY,F9_SECURITY_DELAY,MQ_SECURITY_DELAY,OO_SECURITY_DELAY,UA_SECURITY_DELAY,US_SECURITY_DELAY,VX_SECURITY_DELAY,WN_SECURITY_DELAY,AA_WEATHER_DELAY,AS_WEATHER_DELAY,B6_WEATHER_DELAY,DL_WEATHER_DELAY,EV_WEATHER_DELAY,F9_WEATHER_DELAY,MQ_WEATHER_DELAY,OO_WEATHER_DELAY,UA_WEATHER_DELAY,US_WEATHER_DELAY,VX_WEATHER_DELAY,WN_WEATHER_DELAY
CVG-IAD,CVG,IAD,4,0,0,4,,,,,,,-11.25,,,,,,,,,,4,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,-11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAL-DCA,DAL,DCA,262,15,2,245,24,24,24,24,97,17.91666667,-3.036734694,15.5,1.583333333,0,4.041666667,,,,,,,,,,,80,182,,,,,,,,,,,3,12,,,,,,,,,,,29.57142857,13.11764706,,,,,,,,,,,-1.467532468,-3.755952381,,,,,,,,,,,9.428571429,18,,,,,,,,,,,1,1.823529412,,,,,,,,,,,0,0,,,,,,,,,,,7.142857143,2.764705882
DAY-IAD,DAY,IAD,2,0,0,2,1,1,1,1,0,0,21,65,0,0,0,,,,,2,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,21,,,,,,,,,,,,65,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,
DCA-ATL,DCA,ATL,561,10,0,551,64,64,64,64,565,22.828125,-4.070780399,17.1875,24.046875,0,8.828125,,,,387,,,,,,,,174,,,,1,,,,,,,,9,,,,31.51428571,,,,,,,,12.34482759,,,,-3.111398964,,,,,,,,-6.315151515,,,,18.65714286,,,,,,,,15.4137931,,,,31.65714286,,,,,,,,14.86206897,,,,0,,,,,,,,0,,,,15.82857143,,,,,,,,0.379310345
DCA-AUS,DCA,AUS,31,0,0,31,3,3,3,3,0,3,-11.16129032,3.666666667,19,0,0,,,,,,,,,,,,31,,,,,,,,,,,,0,,,,,,,,,,,,3,,,,,,,,,,,,-11.16129032,,,,,,,,,,,,3.666666667,,,,,,,,,,,,19,,,,,,,,,,,,0,,,,,,,,,,,,0
DCA-BDL,DCA,BDL,62,5,0,57,8,8,8,8,0,8.25,-3.385964912,19,18.375,0,0,,,62,,,,,,,,,,,,5,,,,,,,,,,,,8.25,,,,,,,,,,,,-3.385964912,,,,,,,,,,,,19,,,,,,,,,,,,18.375,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,
DCA-BNA,DCA,BNA,89,5,0,84,7,7,7,7,0,5.285714286,-11.35714286,41.57142857,8.142857143,0,0,,,,,,,,,,,,89,,,,,,,,,,,,5,,,,,,,,,,,,5.285714286,,,,,,,,,,,,-11.35714286,,,,,,,,,,,,41.57142857,,,,,,,,,,,,8.142857143,,,,,,,,,,,,0,,,,,,,,,,,,0
DCA-BOS,DCA,BOS,676,68,0,608,118,118,118,118,244,11.93220339,4.577302632,23.01694915,14.99152542,0,2.06779661,,,277,,,,,,,399,,,,,28,,,,,,,40,,,,,15,,,,,,,9.828571429,,,,,4.682730924,,,,,,,4.504178273,,,,,26.83333333,,,,,,,20.4,,,,,14.52083333,,,,,,,15.31428571,,,,,0,,,,,,,0,,,,,1.916666667,,,,,,,2.171428571,,
DCA-BTR,DCA,BTR,1,0,0,1,1,1,1,1,0,58,58,0,0,0,0,,,,,,,,,1,,,,,,,,,,,,0,,,,,,,,,,,,58,,,,,,,,,,,,58,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0,,,
DCA-CAK,DCA,CAK,31,2,0,29,4,4,4,4,0,31.75,-4.482758621,4.75,0,0,0,,,,,,,,,,,,31,,,,,,,,,,,,2,,,,,,,,,,,,31.75,,,,,,,,,,,,-4.482758621,,,,,,,,,,,,4.75,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,0
DCA-CHS,DCA,CHS,58,4,0,54,12,12,12,12,0,15.5,9.055555556,50.75,11.41666667,0,0,,,58,,,,,,,,,,,,4,,,,,,,,,,,,15.5,,,,,,,,,,,,9.055555556,,,,,,,,,,,,50.75,,,,,,,,,,,,11.41666667,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,
